ID_CLIENTE,EDAD,EXPERIENCIA_LABORAL,INGRESOS_ANUALES_USD,CODIGO_POSTAL,INTEGRANTES_FAMILIA,PROMEDIO_GASTO_TARJETA,NIVEL_EDUCATIVO,VALOR_HIPOTECA,ACEPTO_CREDITO?,TIENE_INVERSIONES?,USA_HOME_BANKING?
ID_CLIENTE_0192,51,25,29000,90404,1,"0,3",Universitario Completo,140,No,No,No
ID_CLIENTE_0193,50,23,85000,92122,1,"2,67",Secundario Completo,0,No,No,Si
ID_CLIENTE_0194,48,24,21000,93118,4,"0,6",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0195,53,29,144000,92697,2,"6,8",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0196,34,10,13000,94577,4,"1,0",Secundario Incompleto,95,No,Si,Si
ID_CLIENTE_0197,48,24,165000,93407,1,"5,0",Secundario Incompleto,0,No,No,No
ID_CLIENTE_0198,55,31,9000,91345,4,"0,7",Secundario Incompleto,89,No,No,Si
ID_CLIENTE_0199,27,3,59000,94123,4,"0,0",Secundario Incompleto,90,No,Si,Si
ID_CLIENTE_0200,36,11,158000,92152,1,"5,1",Universitario Completo,0,Si,No,Si
ID_CLIENTE_0201,32,6,29000,91355,1,"1,9",Universitario Completo,0,No,No,Si
ID_CLIENTE_0202,35,9,20000,94609,2,"1,4",Universitario Completo,0,No,No,Si
ID_CLIENTE_0203,30,3,68000,94306,4,"2,0",Secundario Completo,0,No,No,Si
ID_CLIENTE_0204,58,34,65000,95747,4,"2,2",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0205,56,31,61000,96150,2,"1,9",Secundario Completo,105,No,No,No
ID_CLIENTE_0206,38,12,91000,95616,4,"1,4",Secundario Completo,100,No,No,No
ID_CLIENTE_0207,49,25,31000,91355,1,"1,0",Secundario Incompleto,0,No,Si,Si
ID_CLIENTE_0208,34,10,71000,94115,4,"0,1",Secundario Completo,0,No,No,No
ID_CLIENTE_0209,40,16,73000,94110,4,"2,67",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0210,64,39,172000,94707,4,"3,1",Secundario Incompleto,282,Si,No,Si
ID_CLIENTE_0211,51,26,20000,92131,2,"0,0",Secundario Incompleto,0,No,No,No
ID_CLIENTE_0212,44,18,55000,94720,1,"0,2",Secundario Incompleto,0,No,No,No
ID_CLIENTE_0213,46,22,69000,91604,2,"1,7",Secundario Incompleto,209,No,No,No
ID_CLIENTE_0214,57,33,155000,91326,1,"7,4",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0215,54,28,94000,90291,1,"1,9",Secundario Completo,0,No,No,No
ID_CLIENTE_0216,38,14,92000,95818,2,"0,0",Secundario Incompleto,249,No,No,Si
ID_CLIENTE_0217,27,3,125000,95521,2,"0,6",Secundario Incompleto,0,No,No,No
ID_CLIENTE_0218,39,14,74000,94305,3,"3,0",Secundario Incompleto,0,No,No,No
ID_CLIENTE_0219,44,20,72000,92807,3,"0,3",Universitario Completo,0,No,No,Si
ID_CLIENTE_0220,56,30,61000,94707,1,"2,2",Universitario Completo,0,No,No,Si
ID_CLIENTE_0221,32,6,25000,92130,2,"0,3",Secundario Incompleto,0,No,No,No
ID_CLIENTE_0222,45,19,83000,95051,2,"1,7",Secundario Completo,0,No,No,Si
ID_CLIENTE_0223,26,2,104000,94306,3,"2,5",Secundario Incompleto,0,No,No,No
ID_CLIENTE_0224,55,25,41000,95014,3,"1,0",Universitario Completo,0,No,No,Si
ID_CLIENTE_0225,52,27,58000,94305,4,"1,8",Universitario Completo,91,No,No,No
ID_CLIENTE_0226,39,13,93000,94720,1,"1,5",Universitario Completo,0,No,No,No
ID_CLIENTE_0227,24,-1,39000,94085,2,"1,7",Secundario Completo,0,No,No,No
ID_CLIENTE_0228,47,23,148000,94551,2,"7,5",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0229,47,22,53000,92677,4,"1,9",Universitario Completo,98,No,Si,No
ID_CLIENTE_0230,48,24,71000,93117,2,"1,7",Secundario Incompleto,145,No,No,No
ID_CLIENTE_0231,47,22,92000,94720,1,"2,8",Secundario Completo,0,No,No,Si
ID_CLIENTE_0232,35,10,61000,94304,4,"2,1",Universitario Completo,0,No,No,Si
ID_CLIENTE_0233,46,19,38000,94122,3,"2,5",Secundario Completo,135,No,No,No
ID_CLIENTE_0234,62,37,58000,91320,4,"1,7",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0235,26,1,80000,95616,1,"0,8",Secundario Completo,150,No,No,No
ID_CLIENTE_0236,38,8,71000,94720,4,"1,8",Universitario Completo,0,No,No,Si
ID_CLIENTE_0237,43,18,89000,93407,3,"0,5",Universitario Completo,0,No,No,Si
ID_CLIENTE_0238,62,38,83000,92521,1,"1,8",Universitario Completo,0,No,No,Si
ID_CLIENTE_0239,57,32,28000,95831,3,"0,2",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0240,28,3,52000,94112,4,"1,7",Secundario Completo,0,No,No,No
ID_CLIENTE_0241,51,26,70000,90089,1,"1,2",Secundario Incompleto,169,No,No,No
ID_CLIENTE_0242,48,22,71000,91711,1,"1,4",Universitario Completo,0,No,No,No
ID_CLIENTE_0243,41,16,75000,94005,1,"3,7",Universitario Completo,280,No,No,No
ID_CLIENTE_0244,65,39,170000,90095,3,"7,9",Universitario Completo,99,Si,No,Si
ID_CLIENTE_0245,41,17,78000,94025,4,"0,8",Secundario Incompleto,78,No,No,Si
ID_CLIENTE_0246,35,11,25000,92614,2,"1,0",Secundario Completo,0,No,No,No
ID_CLIENTE_0247,38,14,60000,94025,2,"0,6",Universitario Completo,0,No,No,Si
ID_CLIENTE_0248,53,29,120000,92626,4,"2,7",Secundario Completo,111,Si,Si,Si
ID_CLIENTE_0249,55,29,99000,92121,2,"1,4",Secundario Incompleto,264,No,No,Si
ID_CLIENTE_0250,26,1,55000,90089,3,"2,6",Universitario Completo,113,No,No,No
ID_CLIENTE_0251,30,6,29000,94305,3,"1,0",Secundario Completo,117,No,No,No
ID_CLIENTE_0252,54,28,170000,92182,2,"6,2",Secundario Completo,325,Si,No,Si
ID_CLIENTE_0253,65,40,53000,91711,3,"2,2",Secundario Incompleto,0,No,No,No
ID_CLIENTE_0254,47,21,138000,94583,1,"0,0",Secundario Incompleto,0,No,No,No
ID_CLIENTE_0255,65,41,134000,91942,3,"3,9",Universitario Completo,121,Si,No,Si
ID_CLIENTE_0256,66,40,42000,92103,2,"0,7",Universitario Completo,138,No,No,No
ID_CLIENTE_0257,26,0,99000,92697,4,"2,3",Universitario Completo,0,No,No,No
ID_CLIENTE_0258,66,41,18000,92691,3,"0,5",Secundario Incompleto,0,No,No,No
ID_CLIENTE_0259,35,9,24000,95747,4,"0,3",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0260,56,30,55000,94107,1,"1,4",Secundario Incompleto,77,No,No,Si
ID_CLIENTE_0261,51,27,58000,92407,1,"0,0",Secundario Incompleto,0,No,No,No
ID_CLIENTE_0262,42,16,111000,93106,2,"1,2",Universitario Completo,251,Si,No,Si
ID_CLIENTE_0263,49,23,33000,90245,1,"0,3",Universitario Completo,0,No,No,Si
ID_CLIENTE_0264,27,1,74000,92121,4,"1,8",Secundario Completo,112,No,No,Si
ID_CLIENTE_0265,45,19,38000,90840,2,"0,7",Secundario Incompleto,0,No,No,No
ID_CLIENTE_0266,49,23,23000,94305,4,"0,6",Universitario Completo,98,No,Si,No
ID_CLIENTE_0267,63,38,61000,94720,2,"1,5",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0268,47,22,81000,90504,1,"2,9",Secundario Incompleto,138,No,No,No
ID_CLIENTE_0269,64,39,129000,94002,1,"2,5",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0270,43,13,33000,95039,1,"0,75",Universitario Completo,0,No,No,No
ID_CLIENTE_0271,60,36,63000,94063,4,"2,2",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0272,40,14,70000,94923,4,"1,4",Secundario Completo,0,No,No,Si
ID_CLIENTE_0273,29,3,45000,95023,4,"0,2",Secundario Incompleto,158,No,No,Si
ID_CLIENTE_0274,41,16,65000,90095,3,"0,5",Universitario Completo,0,No,No,Si
ID_CLIENTE_0275,30,5,74000,95616,4,"2,2",Secundario Incompleto,0,No,Si,No
ID_CLIENTE_0276,49,24,50000,94706,4,"1,8",Universitario Completo,0,No,Si,No
ID_CLIENTE_0277,30,5,22000,90058,4,"0,5",Universitario Completo,109,No,No,Si
ID_CLIENTE_0278,29,2,30000,92126,4,"1,0",Universitario Completo,0,No,No,No
ID_CLIENTE_0279,50,26,21000,91125,4,"1,0",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0280,39,14,155000,94577,2,"3,9",Secundario Incompleto,0,No,No,Si
ID_CLIENTE_0281,33,8,64000,92121,4,"2,1",Universitario Completo,164,No,No,Si
ID_CLIENTE_0282,57,31,65000,94118,4,"2,6",Universitario Completo,0,No,No,No
ID_CLIENTE_0283,34,9,71000,91711,4,"0,7",Universitario Completo,0,No,No,Si
ID_CLIENTE_0284,61,36,40000,90029,3,"0,5",Secundario Completo,0,No,Si,Si
ID_CLIENTE_0285,44,19,69000,92806,3,"0,5",Universitario Completo,0,No,No,Si
ID_CLIENTE_0286,40,13,69000,94305,3,"2,33",Secundario Completo,0,No,No,No
